climate_year,model,target,MAE,RMSE,R2
2023-24,Persistence,Rainfall,3.079612885242498,9.166099906749961,0.24185865138115403
2023-24,Persistence,Temperature,0.6158264149129367,0.8343889718738701,0.9481792823763847
2023-24,Random Forest,Rainfall,2.9371069899783584,7.791781743268603,0.45215895351914326
2023-24,Random Forest,Temperature,0.5895976347321737,0.7875914122663916,0.9538291089361473
2023-24,XGBoost,Rainfall,2.926100704356696,7.8115932982886,0.44936950646539375
2023-24,XGBoost,Temperature,0.5866003266168299,0.7782236182293101,0.9549209114838259
2023-24,LSTM,Rainfall,3.190274518834792,7.768843330947038,0.45537981022735075
2023-24,LSTM,Temperature,0.5790827951292901,0.7800220311054433,0.9547123223702836
2024-25,Persistence,Rainfall,3.2360479960788986,9.02677317108133,0.3505312933858181
2024-25,Persistence,Temperature,0.603905375883743,0.8106122062206295,0.9417495508986189
2024-25,Random Forest,Rainfall,3.1122256223862577,7.778444687340581,0.5177428148096304
2024-25,Random Forest,Temperature,0.582703922147391,0.7715661126156018,0.9472260878198668
2024-25,XGBoost,Rainfall,3.1335930512662666,7.903539116547284,0.5021065814914469
2024-25,XGBoost,Temperature,0.5950792041529311,0.7886482690500296,0.9448634346598482
2024-25,LSTM,Rainfall,3.334429507227927,7.772604666811693,0.5184666959215609
2024-25,LSTM,Temperature,0.5697220610537583,0.7541354498502546,0.9495836138221616
2025-26,Persistence,Rainfall,2.85168067544838,8.031534005579507,0.27261768213803894
2025-26,Persistence,Temperature,0.550432850374029,0.7332455377441418,0.9723901136867671
2025-26,Random Forest,Rainfall,2.769805649099528,6.913151809378683,0.46108791558085804
2025-26,Random Forest,Temperature,0.5519491451143543,0.717003404181556,0.9735997404739779
2025-26,XGBoost,Rainfall,2.7610712010519887,7.005435810377968,0.44660395555935173
2025-26,XGBoost,Temperature,0.565107564781267,0.7300030821273563,0.9726337589228852
2025-26,LSTM,Rainfall,2.9581806817101146,6.853852408524736,0.4702935873366253
2025-26,LSTM,Temperature,0.5582697206808505,0.7205871176140726,0.9733351743490822
