loss,val_loss
0.10205402225255966,0.0651235356926918
0.054810259491205215,0.04757821559906006
0.04563012719154358,0.044154345989227295
0.044217709451913834,0.0433383472263813
0.0434163436293602,0.04275021329522133
0.043032046407461166,0.04300122335553169
0.04235592111945152,0.04249902442097664
0.04215703159570694,0.042159538716077805
0.04172825068235397,0.04250708222389221
0.041680917143821716,0.043124619871377945
0.041393473744392395,0.043175630271434784
0.04111813008785248,0.043389320373535156
0.04078976809978485,0.04308095574378967
0.04063020274043083,0.0430806465446949
