point_id,rmse
P03,4.710877065911585
P10,5.201735584587962
P18,5.219079975317604
P12,5.248334348709522
P04,5.266598370874516
P06,5.336350775928321
P05,5.47061790433622
P11,5.509596194477191
P20,5.642684695232796
P07,5.858632946341611
P19,6.007754214268674
P21,6.133504148142522
P08,6.209060452579035
P14,6.68824486673018
P13,7.0754382273667895
P22,7.373767229224809
P15,7.621909395485711
P17,8.358498728630837
P16,9.295494145948886
P09,9.403027770377575
P23,9.507231865755832
P02,9.764014753108444
P01,15.795438431852451
